id,station_id,city_slug,district_slug,address_en,title,provider,external_id,sensor_type,latitude,longitude,altitude,first_measurement_time,last_measurement_time,is_suspicious
306,191,amasia,,"Tumo Labs","Shirak, Amasia",climate_net,11,climatenet-v1,40.952267,43.786408,,"2024-06-20 15:00:00","2025-09-16 12:15:00",false
307,123,akhuryan,,"Tumo Station","Shirak, Akhuryan",climate_net,7,climatenet-v1,40.780987,43.886296,,"2024-06-21 12:00:00","2025-09-16 12:15:00",false
308,189,yerazgavors,,"Tumo Labs","Shirak, Yerazgavors",climate_net,12,climatenet-v1,40.703253,43.775969,,"2024-06-21 15:00:00","2025-09-16 12:15:00",false
309,106,yerevan,ajapnyak,Tumo,"Yerevan, TUMO",climate_net,14,climatenet-v1,40.197641,44.479521,,"2024-07-04 16:00:00","2025-09-16 12:15:00",false
310,188,chambarak,,"Tumo Labs","Gegharkunik, Chambarak",climate_net,17,climatenet-v1,40.596135,45.352558,,"2024-07-11 13:00:00","2025-09-16 12:15:00",false
311,122,berd,,"Tumo Station","Tavush, Berd",climate_net,16,climatenet-v1,40.881753,45.395091,,"2024-07-11 15:00:00","2025-09-16 12:15:00",false
312,,,,,"Tavush, Artsvaberd",climate_net,13,climatenet-v1,40.841126,45.470587,,"2024-07-11 17:00:00","2025-09-16 12:15:00",true
313,121,ijevan,,"Tumo Station","Tavush, Ijevan",climate_net,15,climatenet-v1,40.879216,45.157368,,"2024-07-12 13:00:00","2025-09-16 12:15:00",false
314,120,azatamut,,"Tumo Station","Tavush, Azatamut",climate_net,18,climatenet-v1,40.989997,45.208300,,"2024-07-12 14:00:00","2025-09-16 12:15:00",true
315,119,spitak,,"Tumo Station","Lori, Spitak",climate_net,19,climatenet-v1,40.831840,44.279795,,"2024-07-24 13:00:00","2025-09-16 12:15:00",false
316,117,stepanavan,,"Tumo Station","Lori, Stepanavan",climate_net,20,climatenet-v1,41.020310,44.382210,,"2024-07-24 15:00:00","2025-09-16 12:15:00",false
317,,,,,"Vayots Dzor, Areni",climate_net,22,climatenet-v1,39.718260,45.177451,,"2024-07-25 13:00:00","2025-09-16 12:15:00",true
318,113,vayk,,"Tumo Station","Vayots Dzor, Vayk",climate_net,21,climatenet-v1,39.689995,45.466546,,"2024-07-25 15:00:00","2025-09-16 12:15:00",false
319,180,jermuk,,"Tumo Labs","Vayots Dzor, Jermuk",climate_net,23,climatenet-v1,39.813374,45.671145,,"2024-07-25 18:00:00","2025-09-16 11:45:00",false
320,112,alaverdi,,"Tumo Station","Lori, Alaverdi",climate_net,25,climatenet-v1,41.092513,44.657109,,"2024-10-24 13:00:00","2025-09-16 12:15:00",false
321,116,odzun,,"Tumo Station","Lori, Odzun",climate_net,27,climatenet-v1,41.049429,44.618191,,"2024-10-24 15:00:00","2025-09-16 12:15:00",false
322,114,dsegh,,"Tumo Station","Lori, Dsegh",climate_net,28,climatenet-v1,40.965779,44.654578,,"2024-10-24 18:00:00","2025-09-16 12:15:00",false
323,118,shnogh,,"Tumo Station","Lori, Shnogh",climate_net,29,climatenet-v1,41.150359,44.841540,,"2024-10-25 13:00:00","2025-09-16 12:15:00",false
324,115,koghb,,"Tumo Station","Tavush, Koghb",climate_net,30,climatenet-v1,41.186532,44.981241,,"2024-10-30 13:00:00","2025-05-06 01:15:00",false
325,111,gyumri,,"Tumo in Gorky Park","Shirak, Gyumri",climate_net,31,climatenet-v1,40.785778,43.836609,,"2024-12-20 16:00:00","2025-09-16 12:15:00",false
326,,,,,"Tavush, Dilijan",climate_net,33,climatenet-v1,40.743527,44.872349,,"2024-12-25 14:00:00","2025-01-02 11:30:00",true
327,105,yerevan,kentron,"Mashtots 2A","ք. Երևան, Մաշտոցի 2Ա",yerevan_gis,DMBWL0424,CLARITY_NODE,40.175078,44.502197,,"2025-01-17 11:00:00","2025-01-31 05:00:00",false
328,105,yerevan,kentron,"Mashtots 2A","ք. Երևան, Մաշտոցի 2Ա",yerevan_gis,DQURV2387,CLARITY_NODE,40.175789,44.502492,,"2025-01-17 11:00:00","2025-09-15 19:00:00",false
329,30,yerevan,malatia-sebastia,"Tsitsernakaberd highway, 1..4","ք․ Երևան, Ծիծեռնակաբերդի խճղ., 11/1 ",yerevan_gis,DXYBQ3763,CLARITY_NODE,40.180812,44.481288,,"2025-01-17 12:00:00","2025-09-15 19:00:00",false
330,107,yerevan,erebuni,"Sofia street","Sofia st. (ArmAqi.org)",sensor_community,91307,SDS011,40.136000,44.524000,975.70,"2025-01-17 19:00:00","2025-09-16 12:12:19",false
331,107,yerevan,erebuni,"Sofia street","Sofia st. (ArmAqi.org)",sensor_community,91308,BME280,40.136000,44.524000,975.70,"2025-01-17 19:00:00","2025-09-16 12:12:19",false
332,108,dilijan,,"Sayat-Nova street","Dilijan, Sayat Nova (ArmAqi.org)",sensor_community,91327,SDS011,40.754000,44.896000,1248.90,"2025-01-18 16:00:00","2025-02-17 00:43:59",false
333,108,dilijan,,"Sayat-Nova street","Dilijan, Sayat Nova (ArmAqi.org)",sensor_community,91328,BME280,40.754000,44.896000,1248.90,"2025-01-18 16:00:00","2025-02-17 00:43:59",false
